pincode,status,is_prime,state
206247,Serviceable,false,
206248,Serviceable,false,
206249,Serviceable,false,
206250,Serviceable,false,
206251,Serviceable,false,
206255,Serviceable,false,
206302,Serviceable,false,
206303,Serviceable,false,
206451,Serviceable,false,
207120,Serviceable,false,
207125,Serviceable,false,
207241,Serviceable,false,
207245,Serviceable,false,
207246,Serviceable,false,
207249,Serviceable,false,
207250,Serviceable,false,
207302,Serviceable,false,
207402,Serviceable,false,
207403,Serviceable,false,
207501,Serviceable,false,
207504,Serviceable,false,
208002,Serviceable,false,
208003,Serviceable,false,
208004,Serviceable,false,
208005,Serviceable,false,
208006,Serviceable,false,
208007,Serviceable,false,
208010,Serviceable,false,
208011,Serviceable,false,
208013,Serviceable,false,
208014,Serviceable,false,
208018,Serviceable,false,
208019,Serviceable,false,
208021,Serviceable,false,
208022,Serviceable,false,
208023,Serviceable,false,
208025,Serviceable,false,
208039,Serviceable,false,
209101,Serviceable,false,
209111,Serviceable,false,
209115,Serviceable,false,
209121,Serviceable,false,
209125,Serviceable,false,
209201,Serviceable,false,
209203,Serviceable,false,
209204,Serviceable,false,
209206,Serviceable,false,
209207,Serviceable,false,
209208,Serviceable,false,
209209,Serviceable,false,
209210,Serviceable,false,
209217,Serviceable,false,
209302,Serviceable,false,
209306,Serviceable,false,
209307,Serviceable,false,
209308,Serviceable,false,
209310,Serviceable,false,
209311,Serviceable,false,
209501,Serviceable,false,
209503,Serviceable,false,
209504,Serviceable,false,
209505,Serviceable,false,
209601,Serviceable,false,
209602,Serviceable,false,
209625,Serviceable,false,
209651,Serviceable,false,
209721,Serviceable,false,
209722,Serviceable,false,
209725,Serviceable,false,
209726,Serviceable,false,
209727,Serviceable,false,
209728,Serviceable,false,
209729,Serviceable,false,
209731,Serviceable,false,
209732,Serviceable,false,
209733,Serviceable,false,
